db,s(byte),sdb(byte),total time-server (s),fileToBufferTime (s),forLoopTime (s),getDataTime (s),sumMulTime (s),saveDataTime (s)
resources/100x1x64/,800,1048576,0.761866,0.0671647,0.694699,0,0,0
resources/100x1x64/,800,1048576,0.938727,0.0769305,0.861795,0,0,0
resources/100x1x64/,800,1048576,0.145656,0.0818655,0.0637874,0,0,0
resources/100x1x64/,800,1048576,0.114038,0.0624403,0.0515954,0,0,0
resources/100x1x64/,800,1048576,0.140162,0.0789356,0.0612239,0,0,0
resources/100x1x64/,800,1048576,0.107897,0.058713,0.0491815,0,0,0
resources/100x1x64/,800,1048576,0.119292,0.0655991,0.0536906,0,0,0
resources/100x1x64/,800,1048576,0.118438,0.0614787,0.056957,0,0,0
resources/100x1x8/,100,1048576,2.72378,2.33049,0.393287,0,0,0
resources/100x1x8/,100,1048576,3.0273,2.65055,0.376746,0,0,0
resources/100x1x8/,100,1048576,2.19219,1.74666,0.445526,0,0,0
resources/100x1x8/,100,1048576,2.47675,2.07355,0.403195,0,0,0
resources/100x1x8/,100,1048576,0.43167,0.074307,0.357361,0,0,0
resources/100x1x8/,100,1048576,0.431159,0.065586,0.36557,0,0,0

resources/100x1x8/,100,1048576,0.426598,0.0818467,0.344749,0,0,0
resources/100x1x8/,100,1048576,0.427552,0.0702939,0.357256,0,0,0
resources/100x1x8/,100,1048576,0.374957,0.0534082,0.321546,0,0,0
resources/100x1x16/,200,1048576,0.262413,0.0745655,0.187842,0,0,0
resources/100x1x16/,200,1048576,0.23556,0.0614289,0.174128,0,0,0
resources/100x1x16/,200,1048576,0.282648,0.0781185,0.204524,0,0,0
resources/100x1x32/,400,1048576,0.161514,0.0669613,0.0945509,0,0,0
resources/100x1x32/,400,1048576,0.101365,3.1125e-05,0.10133,0,0,0
resources/100x1x8/,100,1048576,0.329239,6.951e-06,0.329231,0,0,0
resources/100x1x8/,100,1048576,0.339698,7.198e-06,0.339689,0,0,0
resources/100x1x8/,100,1048576,0.321991,7.467e-06,0.32198,0,0,0
resources/100x1x8/,100,1048576,0.348181,2.7734e-05,0.348149,0,0,0
resources/100x1x8/,100,1048576,0.345987,6.761e-06,0.345979,0,0,0
resources/100x1x8/,100,1048576,0.323091,3.1302e-05,0.323058,0,0,0
resources/100x1x8/,100,1048576,0.324038,6.598e-06,0.32403,0,0,0
resources/100x1x16/,200,1048576,0.177086,5.327e-06,0.177079,0,0,0
resources/100x1x16/,200,1048576,0.176425,1.0488e-05,0.176413,0,0,0
resources/100x1x64/,800,1048576,0.0506968,8.765e-06,0.0506866,0,0,0
resources/100x1x64/,800,1048576,0.112281,3.3769e-05,0.112243,0,0,0
resources/100x1x64/,800,1048576,0.0584451,1.6926e-05,0.0584262,0,0,0
resources/100x1x64/,800,1048576,0.052296,1.3539e-05,0.0522794,0,0,0
resources/100x1x64/,800,1048576,0.0523683,1.0976e-05,0.0523555,0,0,0
resources/100x1x8/,100,1048576,0.329711,1.0756e-05,0.329699,0,0,0
resources/100x1x8/,100,1048576,0.323938,5.779e-06,0.323931,0,0,0
resources/100x1x8/,100,1048576,0.336624,7.784e-06,0.336615,0,0,0
resources/100x1x8/,100,1048576,0.328889,8.666e-06,0.328879,0,0,0
resources/100x1x8/,100,1048576,0.305394,0,0,0,0,0
resources/100x1x8/,100,1048576,0.305813,0,0,0,0,0
resources/100x1x8/,100,1048576,0.310074,0,0,0,0,0
resources/100x1x8/,100,1048576,0.307358,0,0,0,0,0
resources/100x1x8/,100,1048576,0.302177,0,0,0,0,0
resources/100x1x8/,100,1048576,0.305291,0,0,0,0,0
resources/100x1x8/,100,1048576,0.333723,0,0,0,0,0
resources/100x1x8/,100,1048576,0.302754,0,0,0,0,0
resources/10x1x8s/,2,32,0.0134063,0,0,0,0,0
resources/10x1x8s/,2,32,0.0138739,0,0,0,0,0
resources/10x1x8s/,2,32,0.0121803,0,0,0,0,0
resources/10x1x8s/,2,32,0.0122169,0,0,0,0,0
resources/10x1x8s/,2,32,0.0105987,0,0,0,0,0
resources/10x1x8s/,2,32,0.01305,0,0,0,0,0
resources/10x1x8s/,2,32,0.0137401,0,0,0,0,0
resources/10x1x8s/,2,32,0.0125176,0,0,0,0,0
resources/10x1x8s/,2,32,0.0106073,0,0,0,0,0
resources/10x1x8s/,2,32,0.0113492,0,0,0,0,0
resources/10x1x8s/,2,32,0.0102949,0,0,0,0,0
resources/10x1x8s/,2,32,0.0172531,0,0,0,0,0
resources/10x1x8s/,2,32,0.0142341,0,0,0,0,0
resources/10x1x8s/,2,32,0.012072,0,0,0,0,0
